date,open,high,low,close,volume,name
2019-05-17,44.79713506743105,45.748532317042915,44.75639558616082,45.29320526123047,131516400,AAPL
2019-05-20,43.979949669541405,44.178856807213535,43.20349328767014,43.87689971923828,154449200,AAPL
2019-05-21,44.38736118897249,45.05357870926349,44.26274388355509,44.718074798583984,113459200,AAPL
2019-05-22,44.253149155342534,44.50477885718109,43.74749460169806,43.8026123046875,118994400,AAPL
2019-05-23,43.08846676529334,43.265802939260645,42.611568633482584,43.05491638183594,146118800,AAPL
2019-05-24,43.18432121043186,43.64923624926381,42.80567910310189,42.889556884765625,94858800,AAPL
2019-05-28,42.877572173999866,43.277781584642646,42.63553040781726,42.712215423583984,111792800,AAPL
2019-05-29,42.27845585703999,42.98062234841405,42.17780471640916,42.50851821899414,113924800,AAPL
2019-05-30,42.64511468367893,42.9518620603252,42.33836730703267,42.7289924621582,84873600,AAPL
2019-05-31,42.2329281309598,42.654708575512196,41.93576862508081,41.95494079589844,108174400,AAPL
2019-06-03,42.08194969920505,42.637927979424546,40.804632722240406,41.53076171875,161584400,AAPL
2019-06-04,42.043606173066934,43.095654753036754,41.82313170796883,43.05012130737305,123872000,AAPL
2019-06-05,44.16207305046419,44.33222373730935,43.409582908600534,43.745086669921875,119093600,AAPL
2019-06-06,43.87450454381739,44.447259831298844,43.65163128107434,44.38734817504883,90105200,AAPL
2019-06-07,44.69649958213684,45.99298895828107,44.519163384744395,45.56881332397461,122737600,AAPL
2019-06-10,45.966617016110206,46.8197583874518,45.92108357381099,46.151145935058594,104883600,AAPL
2019-06-11,46.6975490130093,46.970746063230806,46.395595533306974,46.68556594848633,107731600,AAPL
2019-06-12,46.47946316766171,46.963550384251995,46.34526163990616,46.53697967529297,73012800,AAPL
2019-06-13,46.65919972341008,47.16006031960597,46.395590615436326,46.52739334106445,86698400,AAPL
2019-06-14,45.9043112065248,46.39318870678023,45.60475292882197,46.189491271972656,75046000,AAPL
2019-06-17,46.22782880502471,46.72150388470995,46.05288780663783,46.46508026123047,58676400,AAPL
2019-06-18,46.982718557000155,47.99881784169886,46.78141628249008,47.55786895751953,106204000,AAPL
2019-06-19,47.852640304899516,47.9005725592601,47.284678926559096,47.418880462646484,84496800,AAPL
2019-06-20,48.017979457401175,48.075495947500784,47.45720739161602,47.799903869628906,86056000,AAPL
2019-06-21,47.6417568477169,48.133033233178,47.48598432433185,47.636962890625,191202400,AAPL
2019-06-24,47.579439491988516,47.96766951247152,47.490771410564825,47.589027404785156,72881600,AAPL
2019-06-25,47.5530846009983,47.75199176598326,46.80059424100011,46.867698669433594,84281200,AAPL
2019-06-26,47.39491110661809,48.16657348373054,47.294259969175215,47.88139343261719,104270000,AAPL
2019-06-27,47.99882237571496,48.30557342924731,47.8262801646343,47.86701965332031,83598800,AAPL
2019-06-28,47.61298106823023,47.80949302032976,47.22235962686202,47.430850982666016,124442400,AAPL
2019-07-01,48.68900379311359,49.00533908963892,48.08509328129439,48.300777435302734,109012000,AAPL
2019-07-02,48.26723686886875,48.67942943539934,48.25525380397884,48.58356857299805,67740800,AAPL
2019-07-03,48.715369842636605,48.993360829245304,48.57397919929373,48.98617172241211,45448000,AAPL
2019-07-05,48.732144758506294,49.14673241375876,48.62430084723059,48.943031311035156,69062000,AAPL
2019-07-08,48.12343557807911,48.26482620156885,47.548285171877104,47.93411636352539,101354400,AAPL
2019-07-09,47.73761261486467,48.29119579901545,47.64415056632906,48.22649383544922,82312000,AAPL
2019-07-10,48.37266316470949,48.82319624415561,48.30316360942487,48.703372955322266,71588400,AAPL
2019-07-11,48.72255727579953,48.98137608305649,48.339124849902824,48.34870910644531,80767200,AAPL
2019-07-12,48.516467933836616,48.88792100615838,48.45655626593691,48.72016906738281,70380800,AAPL
2019-07-15,48.909472660721896,49.33604330697741,48.88790534479947,49.177879333496094,67789600,AAPL
2019-07-16,49.02930352530581,49.393567429544646,48.768089574240236,49.00773620605469,67467200,AAPL
2019-07-17,48.89989531082296,49.14912619568089,48.712971233000175,48.73214340209961,56430000,AAPL
2019-07-18,48.887917941756626,49.33845482627152,48.8160232134399,49.28573226928711,74162400,AAPL
2019-07-19,49.31688305319296,49.487033785576166,48.4948967896062,48.55001449584961,83717200,AAPL
2019-07-22,48.804036166626496,49.66197156596754,48.79445191010135,49.659576416015625,89111600,AAPL
2019-07-23,49.95673492968282,50.06457517499835,49.676345172458426,50.04779815673828,73420800,AAPL
2019-07-24,49.76741058224146,50.12208653775661,49.647587278391484,50.007057189941406,59966400,AAPL
2019-07-25,50.05978275817563,50.14366053862095,49.54214517668298,49.61164474487305,55638400,AAPL
2019-07-26,49.72188828871622,50.26109327692397,49.64040930144378,49.78419876098633,70475600,AAPL
2019-07-29,49.95673802217077,50.47916591954553,49.95194406569725,50.24910354614258,86693600,AAPL
2019-07-30,50.02862660650819,50.36413406539814,49.68113974210415,50.03342056274414,135742800,AAPL
2019-07-31,51.86432427022654,53.05057438127152,50.63733467006725,51.054317474365234,277125600,AAPL
2019-08-01,51.260414211398206,52.25015599273981,49.54454706892121,49.949546813964844,216071600,AAPL
2019-08-02,49.25456908663664,49.47024958006934,48.31994873947202,48.892704010009766,163448400,AAPL
2019-08-05,47.44763768168687,47.6058016786869,46.151148533272625,46.33327865600586,209572000,AAPL
2019-08-06,47.04502381388391,47.46680417334717,46.50102500392178,47.21038055419922,143299200,AAPL
2019-08-07,46.829353474745794,47.82388562486308,46.448316172994446,47.69926834106445,133457600,AAPL
2019-08-08,47.97725090959715,48.77527456500826,47.783137739281464,48.75130844116211,108038000,AAPL
2019-08-09,48.42415862155094,48.7753700310641,47.940636364989096,48.349586486816406,98478800,AAPL
2019-08-12,48.0200188898601,48.60457469476368,47.90695673151683,48.226898193359375,89927600,AAPL
2019-08-13,48.356790197265404,51.031784025977196,48.22688730523221,50.26921844482422,188874000,AAPL
2019-08-14,48.87159379466716,49.66062099046996,48.73447445076552,48.77296447753906,146189600,AAPL
2019-08-15,48.943761201258695,49.34789546661797,48.032047512807594,48.53000259399414,108909600,AAPL
2019-08-16,49.141019237305535,49.83382507339097,49.03517349339124,49.67505645751953,110481600,AAPL
2019-08-19,50.66614789415775,51.17372364887826,50.5242200506216,50.601200103759766,97654400,AAPL
2019-08-20,50.728690287504556,51.32286671027369,50.59397887791668,50.603599548339844,107537200,AAPL
2019-08-21,51.23626555737707,51.39503047697511,50.90189128621012,51.152069091796875,86141600,AAPL
2019-08-22,51.28438179246483,51.58507824401724,50.69742173173677,51.1087760925293,89014800,AAPL
2019-08-23,50.37987945350891,51.01014164863292,48.35198454994893,48.746498107910156,187272000,AAPL
2019-08-26,49.5210857886878,49.841027178853416,49.328639370540266,49.672637939453125,104174400,AAPL
2019-08-27,50.00221288345861,50.16819791599971,48.96059990979167,49.112152099609375,103493200,AAPL
2019-08-28,49.097712670287585,49.48741405398377,48.91007839883308,49.441707611083984,63755200,AAPL
2019-08-29,50.15616011479025,50.353418717422464,49.713535889687755,50.27884292602539,83962000,AAPL
2019-08-30,50.55549223711403,50.62525219652797,49.84344144801472,50.21390151977539,84573600,AAPL
2019-09-03,49.65821832852433,49.790525515438006,49.12658900103214,49.48261260986328,80092000,AAPL
2019-09-04,50.1297009283662,50.391907323066086,49.87230670410968,50.322147369384766,76752400,AAPL
2019-09-05,50.99811740539344,51.47201529946035,50.88024307676292,51.3060302734375,95654800,AAPL
2019-09-06,51.49126598584614,51.58027096935908,51.12080586682492,51.30122375488281,77449200,AAPL
2019-09-09,51.6813030255869,52.0661959770303,50.77440511113955,51.5201301574707,109237600,AAPL
2019-09-10,51.44556068094827,52.14798723364633,50.92836419189196,52.12874221801758,127111600,AAPL
