,XGBoost,RandomForest,GradientBoosting,LogisticRegression
GOOGL,0.48863636363636365,0.47297297297297297,0.4,0.49
AAPL,0.26666666666666666,0.5652173913043478,0.5862068965517241,0.5
MSFT,0.5636363636363636,0.5945945945945946,0.5405405405405406,0.54
AMZN,0.4418604651162791,0.5866666666666667,0.4852941176470588,0.55
META,0.5121951219512195,0.5348837209302325,0.6285714285714286,0.5652173913043478
